35,3458A,2022-01-07_17:12:15,1.0000023240,22.54,38.28
36,3457A,2022-01-07_17:12:15,1.0000045000,22.54,38.28
37,3458A,2022-01-07_17:12:17,1.0000023240,22.54,38.28
38,3457A,2022-01-07_17:12:17,1.0000051000,22.54,38.28
39,3458A,2022-01-07_17:12:20,1.0000024700,22.55,38.29
40,3457A,2022-01-07_17:12:20,1.0000049000,22.55,38.29
41,3458A,2022-01-07_17:12:22,1.0000024850,22.55,38.31
42,3457A,2022-01-07_17:12:22,1.0000045000,22.55,38.31
43,3458A,2022-01-07_17:12:23,1.0000029090,22.52,38.30
44,3457A,2022-01-07_17:12:23,1.0000062000,22.52,38.30
45,3458A,2022-01-07_17:12:26,1.0000030410,22.52,38.30
46,3457A,2022-01-07_17:12:26,1.0000045000,22.52,38.30
47,3458A,2022-01-07_17:12:28,1.0000024850,22.52,38.33
48,3457A,2022-01-07_17:12:28,1.0000048000,22.52,38.33
49,3458A,2022-01-07_17:12:30,1.0000024850,22.52,38.35
50,3457A,2022-01-07_17:12:30,1.0000048000,22.52,38.35
51,3458A,2022-01-07_17:12:31,1.0000026160,22.51,38.38
52,3457A,2022-01-07_17:12:31,1.0000048000,22.51,38.38
53,3458A,2022-01-07_17:12:34,1.0000026310,22.52,38.38
54,3457A,2022-01-07_17:12:34,1.0000054000,22.52,38.38
55,3458A,2022-01-07_17:12:36,1.0000028510,22.54,38.45
56,3457A,2022-01-07_17:12:36,1.0000054000,22.54,38.45
57,3458A,2022-01-07_17:12:37,1.0000018270,22.54,38.51
58,3457A,2022-01-07_17:12:37,1.0000049000,22.54,38.51
59,3458A,2022-01-07_17:12:40,1.0000019730,22.51,38.55
60,3457A,2022-01-07_17:12:40,1.0000045000,22.51,38.55
61,3458A,2022-01-07_17:12:42,1.0000023390,22.52,38.63
62,3457A,2022-01-07_17:12:42,1.0000048000,22.52,38.63
63,3458A,2022-01-07_17:12:44,1.0000026160,22.51,38.60
64,3457A,2022-01-07_17:12:44,1.0000060000,22.51,38.60
65,3458A,2022-01-07_17:12:45,1.0000019140,22.49,38.61
66,3457A,2022-01-07_17:12:45,1.0000062000,22.49,38.61
67,3458A,2022-01-07_17:12:48,1.0000023090,22.49,38.55
68,3457A,2022-01-07_17:12:48,1.0000055000,22.49,38.55
69,3458A,2022-01-07_17:12:50,1.0000018700,22.51,38.57
70,3457A,2022-01-07_17:12:50,1.0000046000,22.51,38.57
71,3458A,2022-01-07_17:12:51,1.0000019870,22.49,38.56
72,3457A,2022-01-07_17:12:51,1.0000054000,22.49,38.56
73,3458A,2022-01-07_17:12:53,1.0000025870,22.52,38.55
74,3457A,2022-01-07_17:12:53,1.0000046000,22.52,38.55
75,3458A,2022-01-07_17:12:56,1.0000026160,22.51,38.57
76,3457A,2022-01-07_17:12:56,1.0000053000,22.51,38.57
77,3458A,2022-01-07_17:12:58,1.0000022950,22.49,38.56
78,3457A,2022-01-07_17:12:58,1.0000051000,22.49,38.56
79,3458A,2022-01-07_17:13:00,1.0000027190,22.49,38.61
80,3457A,2022-01-07_17:13:00,1.0000055000,22.49,38.61
81,3458A,2022-01-07_17:13:01,1.0000022510,22.49,38.56
82,3457A,2022-01-07_17:13:01,1.0000047000,22.49,38.56
83,3458A,2022-01-07_17:13:04,1.0000024410,22.51,38.61
84,3457A,2022-01-07_17:13:04,1.0000048000,22.51,38.61
85,3458A,2022-01-07_17:13:06,1.0000022650,22.51,38.56
86,3457A,2022-01-07_17:13:06,1.0000046000,22.51,38.56
87,3458A,2022-01-07_17:13:07,1.0000026750,22.51,38.55
88,3457A,2022-01-07_17:13:07,1.0000057000,22.51,38.55
89,3458A,2022-01-07_17:13:09,1.0000019870,22.51,38.52
90,3457A,2022-01-07_17:13:09,1.0000056000,22.51,38.52
91,3458A,2022-01-07_17:13:12,1.0000024700,22.52,38.55
92,3457A,2022-01-07_17:13:12,1.0000059000,22.52,38.55
93,3458A,2022-01-07_17:13:14,1.0000021780,22.51,38.57
94,3457A,2022-01-07_17:13:14,1.0000045000,22.51,38.57
95,3458A,2022-01-07_17:13:15,1.0000024560,22.54,38.52
96,3457A,2022-01-07_17:13:15,1.0000048000,22.54,38.52
97,3458A,2022-01-07_17:13:18,1.0000027040,22.52,38.52
98,3457A,2022-01-07_17:13:18,1.0000059000,22.52,38.52
99,3458A,2022-01-07_17:13:20,1.0000024410,22.54,38.51
100,3457A,2022-01-07_17:13:20,1.0000058000,22.54,38.51
101,3458A,2022-01-07_17:13:21,1.0000029090,22.54,38.49
102,3457A,2022-01-07_17:13:21,1.0000047000,22.54,38.49
103,3458A,2022-01-07_17:13:23,1.0000026160,22.54,38.46
104,3457A,2022-01-07_17:13:23,1.0000061000,22.54,38.46
105,3458A,2022-01-07_17:13:26,1.0000025290,22.55,38.45
106,3457A,2022-01-07_17:13:26,1.0000051000,22.55,38.45
107,3458A,2022-01-07_17:13:28,1.0000027770,22.54,38.41
108,3457A,2022-01-07_17:13:28,1.0000063000,22.54,38.41
109,3458A,2022-01-07_17:13:29,1.0000022510,22.56,38.45
110,3457A,2022-01-07_17:13:29,1.0000045000,22.56,38.45
111,3458A,2022-01-07_17:13:31,1.0000024850,22.55,38.45
112,3457A,2022-01-07_17:13:31,1.0000041000,22.55,38.45
113,3458A,2022-01-07_17:13:34,1.0000023390,22.56,38.41
114,3457A,2022-01-07_17:13:34,1.0000063000,22.56,38.41
115,3458A,2022-01-07_17:13:36,1.0000029090,22.55,38.38
116,3457A,2022-01-07_17:13:36,1.0000045000,22.55,38.38
117,3458A,2022-01-07_17:13:38,1.0000026460,22.55,38.37
118,3457A,2022-01-07_17:13:38,1.0000053000,22.55,38.37
119,3458A,2022-01-07_17:13:39,1.0000021040,22.54,38.35
120,3457A,2022-01-07_17:13:39,1.0000051000,22.54,38.35
121,3458A,2022-01-07_17:13:42,1.0000022950,22.56,38.39
122,3457A,2022-01-07_17:13:42,1.0000049000,22.56,38.39
123,3458A,2022-01-07_17:13:44,1.0000021480,22.56,38.41
124,3457A,2022-01-07_17:13:44,1.0000052000,22.56,38.41
125,3458A,2022-01-07_17:13:45,1.0000023090,22.58,38.40
126,3457A,2022-01-07_17:13:45,1.0000058000,22.58,38.40
127,3458A,2022-01-07_17:13:47,1.0000027040,22.56,38.42
128,3457A,2022-01-07_17:13:47,1.0000057000,22.56,38.42
129,3458A,2022-01-07_17:13:50,1.0000021630,22.55,38.42
130,3457A,2022-01-07_17:13:50,1.0000047000,22.55,38.42
131,3458A,2022-01-07_17:13:52,1.0000018850,22.54,38.42
132,3457A,2022-01-07_17:13:52,1.0000055000,22.54,38.42
133,3458A,2022-01-07_17:13:53,1.0000027630,22.54,38.42
134,3457A,2022-01-07_17:13:53,1.0000057000,22.54,38.42
135,3458A,2022-01-07_17:13:56,1.0000024410,22.54,38.41
136,3457A,2022-01-07_17:13:56,1.0000047000,22.54,38.41
137,3458A,2022-01-07_17:13:58,1.0000024410,22.52,38.45
138,3457A,2022-01-07_17:13:58,1.0000052000,22.52,38.45
139,3458A,2022-01-07_17:14:00,1.0000022650,22.52,38.47
140,3457A,2022-01-07_17:14:00,1.0000052000,22.52,38.47
141,3458A,2022-01-07_17:14:01,1.0000020170,22.51,38.51
142,3457A,2022-01-07_17:14:01,1.0000054000,22.51,38.51
143,3458A,2022-01-07_17:14:04,1.0000026600,22.49,38.52
144,3457A,2022-01-07_17:14:04,1.0000050000,22.49,38.52
145,3458A,2022-01-07_17:14:06,1.0000024410,22.51,38.54
146,3457A,2022-01-07_17:14:06,1.0000054000,22.51,38.54
147,3458A,2022-01-07_17:14:08,1.0000024990,22.52,38.54
148,3457A,2022-01-07_17:14:08,1.0000056000,22.52,38.54
149,3458A,2022-01-07_17:14:10,1.0000021340,22.51,38.55
150,3457A,2022-01-07_17:14:10,1.0000045000,22.51,38.55
151,3458A,2022-01-07_17:14:12,1.0000024700,22.49,38.53
152,3457A,2022-01-07_17:14:12,1.0000047000,22.49,38.53
153,3458A,2022-01-07_17:14:14,1.0000026160,22.48,38.56
154,3457A,2022-01-07_17:14:14,1.0000047000,22.48,38.56
155,3458A,2022-01-07_17:14:15,1.0000026160,22.48,38.56
156,3457A,2022-01-07_17:14:15,1.0000051000,22.48,38.56
157,3458A,2022-01-07_17:14:18,1.0000031280,22.47,38.62
158,3457A,2022-01-07_17:14:18,1.0000049000,22.47,38.62
159,3458A,2022-01-07_17:14:20,1.0000023530,22.45,38.65
160,3457A,2022-01-07_17:14:20,1.0000058000,22.45,38.65
161,3458A,2022-01-07_17:14:21,1.0000026460,22.44,38.67
162,3457A,2022-01-07_17:14:21,1.0000046000,22.44,38.67
163,3458A,2022-01-07_17:14:24,1.0000017830,22.42,38.72
164,3457A,2022-01-07_17:14:24,1.0000052000,22.42,38.72
165,3458A,2022-01-07_17:14:26,1.0000024850,22.44,38.73
166,3457A,2022-01-07_17:14:26,1.0000061000,22.44,38.73
167,3458A,2022-01-07_17:14:27,1.0000023240,22.45,38.77
168,3457A,2022-01-07_17:14:27,1.0000046000,22.45,38.77
169,3458A,2022-01-07_17:14:29,1.0000021340,22.44,38.77
170,3457A,2022-01-07_17:14:29,1.0000063000,22.44,38.77
171,3458A,2022-01-07_17:14:32,1.0000023390,22.42,38.76
172,3457A,2022-01-07_17:14:32,1.0000048000,22.42,38.76
173,3458A,2022-01-07_17:14:34,1.0000021920,22.44,38.74
174,3457A,2022-01-07_17:14:34,1.0000048000,22.44,38.74
175,3458A,2022-01-07_17:14:35,1.0000021340,22.42,38.72
176,3457A,2022-01-07_17:14:35,1.0000048000,22.42,38.72
177,3458A,2022-01-07_17:14:38,1.0000026750,22.41,38.72
178,3457A,2022-01-07_17:14:38,1.0000047000,22.41,38.72
179,3458A,2022-01-07_17:14:40,1.0000024990,22.41,38.74
180,3457A,2022-01-07_17:14:40,1.0000064000,22.41,38.74
181,3458A,2022-01-07_17:14:42,1.0000018270,22.4,38.75
182,3457A,2022-01-07_17:14:42,1.0000056000,22.4,38.75
183,3458A,2022-01-07_17:14:43,1.0000021480,22.4,38.74
184,3457A,2022-01-07_17:14:43,1.0000035000,22.4,38.74
185,3458A,2022-01-07_17:14:46,1.0000027040,22.41,38.72
186,3457A,2022-01-07_17:14:46,1.0000052000,22.41,38.72
187,3458A,2022-01-07_17:14:48,1.0000021920,22.4,38.76
188,3457A,2022-01-07_17:14:48,1.0000050000,22.4,38.76
189,3458A,2022-01-07_17:14:49,1.0000018700,22.4,38.74
190,3457A,2022-01-07_17:14:49,1.0000042000,22.4,38.74
191,3458A,2022-01-07_17:14:52,1.0000026160,22.38,38.73
192,3457A,2022-01-07_17:14:52,1.0000043000,22.38,38.73
193,3458A,2022-01-07_17:14:54,1.0000029680,22.38,38.72
194,3457A,2022-01-07_17:14:54,1.0000053000,22.38,38.72
195,3458A,2022-01-07_17:14:56,1.0000022510,22.38,38.71
196,3457A,2022-01-07_17:14:56,1.0000050000,22.38,38.71
197,3458A,2022-01-07_17:14:57,1.0000022800,22.38,38.64
198,3457A,2022-01-07_17:14:57,1.0000052000,22.38,38.64
199,3458A,2022-01-07_17:15:00,1.0000025730,22.37,38.64
200,3457A,2022-01-07_17:15:00,1.0000056000,22.37,38.64
201,3458A,2022-01-07_17:15:02,1.0000025870,22.38,38.57
202,3457A,2022-01-07_17:15:02,1.0000045000,22.38,38.57
203,3458A,2022-01-07_17:15:03,1.0000022070,22.37,38.60
204,3457A,2022-01-07_17:15:03,1.0000053000,22.37,38.60
205,3458A,2022-01-07_17:15:06,1.0000023530,22.35,38.61
206,3457A,2022-01-07_17:15:06,1.0000046000,22.35,38.61
207,3458A,2022-01-07_17:15:08,1.0000026310,22.35,38.57
208,3457A,2022-01-07_17:15:08,1.0000049000,22.35,38.57
209,3458A,2022-01-07_17:15:10,1.0000024560,22.37,38.55
210,3457A,2022-01-07_17:15:10,1.0000048000,22.37,38.55
211,3458A,2022-01-07_17:15:11,1.0000024990,22.38,38.57
212,3457A,2022-01-07_17:15:11,1.0000049000,22.38,38.57
213,3458A,2022-01-07_17:15:14,1.0000023240,22.38,38.53
214,3457A,2022-01-07_17:15:14,1.0000047000,22.38,38.53
215,3458A,2022-01-07_17:15:16,1.0000024560,22.38,38.48
216,3457A,2022-01-07_17:15:16,1.0000045000,22.38,38.48
217,3458A,2022-01-07_17:15:17,1.0000019730,22.38,38.53
218,3457A,2022-01-07_17:15:17,1.0000048000,22.38,38.53
219,3458A,2022-01-07_17:15:20,1.0000030850,22.37,38.48
220,3457A,2022-01-07_17:15:20,1.0000057000,22.37,38.48
221,3458A,2022-01-07_17:15:22,1.0000021630,22.38,38.48
222,3457A,2022-01-07_17:15:22,1.0000046000,22.38,38.48
223,3458A,2022-01-07_17:15:23,1.0000018270,22.4,38.48
224,3457A,2022-01-07_17:15:23,1.0000045000,22.4,38.48
225,3458A,2022-01-07_17:15:25,1.0000024260,22.38,38.51
226,3457A,2022-01-07_17:15:25,1.0000050000,22.38,38.51
227,3458A,2022-01-07_17:15:28,1.0000020750,22.37,38.51
228,3457A,2022-01-07_17:15:28,1.0000054000,22.37,38.51
229,3458A,2022-01-07_17:15:30,1.0000028510,22.37,38.48
230,3457A,2022-01-07_17:15:30,1.0000052000,22.37,38.48
231,3458A,2022-01-07_17:15:31,1.0000021190,22.35,38.48
232,3457A,2022-01-07_17:15:31,1.0000048000,22.35,38.48
233,3458A,2022-01-07_17:15:34,1.0000020460,22.34,38.52
234,3457A,2022-01-07_17:15:34,1.0000039000,22.34,38.52
235,3458A,2022-01-07_17:15:36,1.0000019580,22.37,38.49
236,3457A,2022-01-07_17:15:36,1.0000054000,22.37,38.49
237,3458A,2022-01-07_17:15:38,1.0000019140,22.35,38.45
238,3457A,2022-01-07_17:15:38,1.0000036000,22.35,38.45
239,3458A,2022-01-07_17:15:39,1.0000018850,22.35,38.46
240,3457A,2022-01-07_17:15:39,1.0000044000,22.35,38.46
241,3458A,2022-01-07_17:15:42,1.0000024260,22.35,38.49
242,3457A,2022-01-07_17:15:42,1.0000052000,22.35,38.49
243,3458A,2022-01-07_17:15:44,1.0000020170,22.37,38.47
244,3457A,2022-01-07_17:15:44,1.0000047000,22.37,38.47
245,3458A,2022-01-07_17:15:45,1.0000017390,22.37,38.47
246,3457A,2022-01-07_17:15:45,1.0000046000,22.37,38.47
247,3458A,2022-01-07_17:15:48,1.0000025730,22.37,38.43
248,3457A,2022-01-07_17:15:48,1.0000052000,22.37,38.43
249,3458A,2022-01-07_17:15:50,1.0000018850,22.4,38.42
250,3457A,2022-01-07_17:15:50,1.0000045000,22.4,38.42
251,3458A,2022-01-07_17:15:51,1.0000023530,22.37,38.40
252,3457A,2022-01-07_17:15:51,1.0000049000,22.37,38.40
253,3458A,2022-01-07_17:15:53,1.0000024990,22.37,38.45
254,3457A,2022-01-07_17:15:53,1.0000050000,22.37,38.45
255,3458A,2022-01-07_17:15:56,1.0000022070,22.35,38.43
256,3457A,2022-01-07_17:15:56,1.0000051000,22.35,38.43
257,3458A,2022-01-07_17:15:58,1.0000017830,22.37,38.37
258,3457A,2022-01-07_17:15:58,1.0000049000,22.37,38.37
259,3458A,2022-01-07_17:15:59,1.0000021480,22.37,38.41
260,3457A,2022-01-07_17:15:59,1.0000045000,22.37,38.41
261,3458A,2022-01-07_17:16:02,1.0000022360,22.37,38.36
262,3457A,2022-01-07_17:16:02,1.0000054000,22.37,38.36
263,3458A,2022-01-07_17:16:04,1.0000023390,22.37,38.41
264,3457A,2022-01-07_17:16:04,1.0000046000,22.37,38.41
265,3458A,2022-01-07_17:16:06,1.0000019730,22.37,38.32
266,3457A,2022-01-07_17:16:06,1.0000045000,22.37,38.32
267,3458A,2022-01-07_17:16:07,1.0000023530,22.38,38.35
268,3457A,2022-01-07_17:16:07,1.0000045000,22.38,38.35
269,3458A,2022-01-07_17:16:10,1.0000019290,22.34,38.33
270,3457A,2022-01-07_17:16:10,1.0000051000,22.34,38.33
